ip,classification,risk_recommended_pulsedive,abuseipdb_confidence_score,abuseipdb_total_reports,abuseipdb_num_distinct_users,abuseipdb_recent_reports_count,apivoid_risk_score,apivoid_blacklists_engines_count,apivoid_blacklists_detections,apivoid_blacklists_detection_rate,virustotal_reputation,virustotal_harmless,virustotal_malicious,virustotal_suspicious,virustotal_undetected
1.247.245.61,denylist,1.0000000000000002,1.0,0.01743529411764706,0.108,3.0,1.0,82.0,14.0,0.17,0.17341040462427743,0.5789473684210527,0.07368421052631578,0.010526315789473684,0.3368421052631579
1.253.28.16,suspicious,0.4000000000000001,0.0,0.0,0.0,0.0,0.6,82.0,2.0,0.02,0.17774566473988437,0.631578947368421,0.021052631578947368,0.0,0.34736842105263155
1255147114,suspicious,0.4000000000000001,0.09,3.529411764705883e-05,0.001,3.0,0.9,82.0,4.0,0.05,0.180635838150289,0.631578947368421,0.010526315789473684,0.0,0.35789473684210527
1.28.192.150,denylist,0.4000000000000001,0.0,4.705882352941177e-05,0.0015,3.0,1.0,82.0,7.0,0.09,0.17485549132947975,0.5894736842105263,0.05263157894736842,0.010526315789473684,0.34736842105263155
1.31.80.222,denylist,0.4000000000000001,1.0,0.01435294117647059,0.0935,3.0,1.0,82.0,17.0,0.21,0.17196531791907513,0.5473684210526316,0.09473684210526316,0.031578947368421054,0.3263157894736842
1.32.216.148,denylist,1.0000000000000002,0.0,0.0,0.0,0.0,0.6,82.0,2.0,0.02,0.17919075144508667,0.6105263157894737,0.042105263157894736,0.010526315789473684,0.3368421052631579
1.34.107.46,denylist,0.0,0.0,0.0,0.0,0.0,0.9,82.0,4.0,0.05,0.17919075144508667,0.6105263157894737,0.031578947368421054,0.010526315789473684,0.34736842105263155
1.34.209.79,suspicious,0.4000000000000001,0.0,1.1764705882352942e-05,0.0005,1.0,0.6,82.0,2.0,0.02,0.180635838150289,0.6526315789473685,0.010526315789473684,0.0,0.3368421052631579
1.34.232.138,denylist,0.4000000000000001,0.0,1.1764705882352942e-05,0.0005,1.0,0.7000000000000001,82.0,3.0,0.04,0.1820809248554913,0.6,0.042105263157894736,0.010526315789473684,0.34736842105263155
1.34.254.21,denylist,0.4000000000000001,0.02,3.529411764705883e-05,0.0005,3.0,1.0,82.0,5.0,0.06,0.1820809248554913,0.6,0.042105263157894736,0.010526315789473684,0.34736842105263155
1.34.9.93,suspicious,0.0,0.0,0.0,0.0,0.0,0.4,82.0,1.0,0.01,0.1820809248554913,0.6421052631578947,0.0,0.010526315789473684,0.34736842105263155
